Index;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;WHH;WHD;WHA;VCH;VCD;VCA;Temporada
65;2005-10-16;Betis;Getafe;1;0;H;1;0;H;13;13;3;6;26;19;4;5;2;4;0;1;1.8;3.25;4.0;1.9;3.25;3.7;2.0;3.1;3.5;1.9;3.1;3.6;1.9;3.25;3.4;2006
66;2005-10-16;Espanol;Cadiz;0;2;A;0;0;D;7;8;1;4;18;18;4;4;1;3;1;0;1.72;3.25;4.33;1.8;3.2;4.25;1.8;3.1;3.8;1.8;3.1;4.0;1.8;3.25;3.75;2006
67;2005-10-16;Mallorca;Santander;0;0;D;0;0;D;13;7;3;4;23;21;9;0;2;7;0;0;2.2;3.25;2.8;2.25;3.0;3.1;2.1;3.0;3.1;2.1;3.1;3.1;2.2;3.2;2.8;2006
68;2005-10-16;Osasuna;Celta;2;0;H;0;0;D;10;14;4;3;25;17;3;7;4;2;0;0;2.1;3.25;3.0;2.1;3.05;3.35;2.1;3.0;3.1;2.1;3.1;3.1;2.2;3.2;2.8;2006
69;2005-10-16;Valencia;Malaga;2;1;H;1;0;H;15;11;7;4;21;23;9;4;3;2;0;0;1.57;3.6;5.0;1.55;3.8;5.15;1.55;3.5;4.8;1.53;3.5;5.5;1.5;3.4;6.0;2006
70;2005-10-16;Zaragoza;Sociedad;0;1;A;0;1;A;17;7;2;3;14;16;11;5;2;1;0;1;1.72;3.25;4.33;1.8;3.3;4.1;1.8;3.1;3.8;1.83;3.0;4.0;1.8;3.2;4.0;2006
71;2005-10-22;Barcelona;Osasuna;3;0;H;0;0;D;24;6;10;1;10;21;7;2;1;4;0;0;1.36;4.33;9.0;1.25;5.0;10.0;1.3;4.2;8.0;1.3;4.33;8.0;1.3;4.35;8.0;2006
72;2005-10-22;Sevilla;Alaves;2;0;H;1;0;H;13;8;5;3;21;19;6;3;2;7;0;0;1.72;3.4;5.0;1.6;3.3;5.75;1.7;3.2;4.2;1.61;3.3;5.0;1.65;3.25;5.0;2006
73;2005-10-23;Cadiz;Ath Bilbao;1;0;H;1;0;H;11;12;2;0;20;10;3;1;3;0;0;0;2.25;3.2;3.1;2.3;3.0;3.0;2.2;3.0;2.9;2.25;3.0;2.87;2.2;3.0;3.1;2006
74;2005-10-23;Celta;Espanol;1;0;H;0;0;D;19;12;5;4;18;21;3;1;3;4;0;1;2.0;3.3;3.6;1.95;3.25;3.55;1.9;3.1;3.5;2.0;3.1;3.3;1.8;3.2;4.0;2006
75;2005-10-23;Getafe;Zaragoza;5;2;H;4;0;H;14;14;8;6;15;24;5;7;2;5;0;0;2.2;3.2;3.25;2.05;3.1;3.4;2.1;3.0;3.3;2.15;3.0;3.1;2.0;3.25;3.25;2006
76;2005-10-23;Malaga;Betis;5;0;H;2;0;H;17;10;9;4;26;14;7;4;1;1;0;0;2.4;3.25;2.8;2.45;3.15;2.65;2.4;3.0;2.6;2.37;3.0;2.7;2.4;3.1;2.6;2006
77;2005-10-23;Real Madrid;Valencia;1;2;A;1;2;A;15;16;3;6;20;23;6;6;4;3;2;0;1.66;3.4;5.5;1.6;3.4;5.5;1.6;3.5;5.0;1.61;3.3;5.0;1.55;3.5;5.0;2006
78;2005-10-23;Santander;Ath Madrid;0;1;A;0;1;A;8;12;3;5;20;20;10;4;2;2;0;0;2.6;3.2;2.62;2.5;3.15;2.6;2.6;3.0;2.6;2.4;3.1;2.6;2.5;3.0;2.6;2006
79;2005-10-23;Sociedad;La Coruna;2;0;H;0;0;D;16;13;9;1;26;14;5;4;2;2;0;0;2.4;3.25;2.8;2.5;3.0;2.7;2.4;3.1;2.7;2.3;3.0;2.8;2.4;3.1;2.6;2006
80;2005-10-23;Villarreal;Mallorca;3;0;H;3;0;H;18;13;7;2;13;16;4;6;1;1;0;0;1.57;3.6;6.0;1.5;3.5;6.6;1.6;3.4;4.6;1.53;3.5;5.5;1.55;3.5;5.0;2006
81;2005-10-26;Barcelona;Malaga;2;0;H;0;0;D;36;4;20;1;6;24;12;2;0;5;0;0;1.25;5.0;13.0;1.2;5.55;11.0;1.27;4.3;8.5;1.22;5.0;9.5;1.22;5.0;9.5;2006
82;2005-10-26;Betis;Villarreal;2;3;A;1;1;D;10;4;4;4;10;8;2;2;4;4;1;0;2.25;3.2;3.1;1.95;3.3;3.5;2.2;3.0;2.9;2.25;3.1;2.8;2.2;3.2;2.8;2006
83;2005-10-26;La Coruna;Real Madrid;3;1;H;2;0;H;21;7;5;4;21;20;5;3;3;3;0;0;2.87;3.25;2.37;2.9;3.25;2.25;2.7;3.0;2.5;2.75;3.1;2.3;2.8;3.2;2.2;2006
84;2005-10-26;Mallorca;Celta;1;0;H;0;0;D;15;8;5;2;23;22;5;4;3;1;0;1;2.5;3.2;2.75;2.65;3.1;2.5;2.4;3.0;2.6;2.37;3.1;2.62;2.3;3.25;2.6;2006
85;2005-10-26;Osasuna;Ath Bilbao;3;2;H;1;1;D;11;16;7;2;21;19;2;2;4;1;0;0;1.9;3.25;4.0;1.75;3.4;4.2;1.85;3.1;3.6;1.83;3.2;3.75;1.9;3.25;3.5;2006
86;2005-10-27;Alaves;Espanol;1;1;D;1;1;D;12;12;9;6;19;12;10;10;3;3;1;0;2.3;3.25;3.0;2.35;3.05;2.85;2.2;3.0;2.9;2.25;3.1;2.8;2.2;3.2;2.8;2006
87;2005-10-27;Ath Madrid;Cadiz;3;0;H;1;0;H;20;7;10;2;21;13;9;5;3;2;0;0;1.72;3.4;5.0;1.65;3.45;4.8;1.75;3.2;4.0;1.66;3.3;4.5;1.65;3.4;4.5;2006
88;2005-10-27;Sociedad;Getafe;3;0;H;3;0;H;11;18;5;8;18;21;6;10;0;2;0;0;2.1;3.25;3.4;2.1;3.2;3.2;2.1;3.0;3.1;1.95;3.1;3.5;2.0;3.0;3.4;2006
89;2005-10-27;Valencia;Sevilla;0;2;A;0;1;A;24;4;6;2;16;16;10;2;1;0;0;0;1.66;3.4;5.5;1.7;3.35;4.6;1.65;3.3;4.4;1.72;3.1;4.5;1.65;3.25;5.0;2006
90;2005-10-27;Zaragoza;Santander;1;1;D;1;0;H;14;6;3;1;18;25;5;3;2;6;0;0;1.83;3.3;4.33;1.85;3.3;3.85;1.85;3.1;3.6;1.83;3.0;4.0;1.9;3.25;3.5;2006
91;2005-10-29;Ath Bilbao;Celta;1;1;D;1;0;H;14;11;3;4;25;13;6;3;2;2;0;0;2.25;3.25;2.75;2.2;3.1;3.05;2.3;3.0;2.7;2.15;3.1;3.0;2.25;3.1;2.8;2006
92;2005-10-29;Betis;Real Madrid;0;2;A;0;1;A;11;6;1;3;21;24;4;4;2;2;0;0;2.8;3.25;2.2;3.3;3.1;2.1;2.7;3.1;2.4;3.0;3.1;2.15;3.25;3.25;2.0;2006
93;2005-10-30;Alaves;Cadiz;0;0;D;0;0;D;10;7;6;3;25;19;4;0;1;2;0;0;2.2;3.25;2.8;2.15;3.15;3.15;2.2;3.0;2.9;2.2;3.1;2.87;2.35;3.2;2.6;2006
94;2005-10-30;Ath Madrid;Villarreal;1;1;D;1;0;H;16;7;5;2;26;18;8;2;6;4;1;1;2.2;3.25;2.8;2.1;3.1;3.3;2.2;3.0;2.9;2.15;3.1;3.0;2.3;2.9;2.9;2006
95;2005-10-30;Barcelona;Sociedad;5;0;H;2;0;H;21;2;8;1;13;9;4;5;1;3;0;1;1.33;4.33;7.5;1.2;5.55;11.0;1.3;4.2;8.0;1.33;4.0;8.0;1.22;5.0;9.0;2006
96;2005-10-30;La Coruna;Getafe;1;0;H;1;0;H;12;16;5;3;28;17;1;2;3;4;0;0;1.8;3.25;4.0;1.9;3.2;3.8;1.8;3.1;3.8;1.72;3.2;4.33;1.85;3.2;3.75;2006
97;2005-10-30;Mallorca;Sevilla;1;1;D;1;1;D;8;19;2;7;22;15;3;2;2;2;1;0;2.5;3.2;2.5;3.0;3.2;2.2;2.5;3.0;2.5;2.6;3.1;2.4;2.6;3.2;2.4;2006
98;2005-10-30;Osasuna;Espanol;2;0;H;1;0;H;16;7;7;0;18;20;5;4;2;6;0;1;1.83;3.25;3.75;1.8;3.4;4.0;1.85;3.1;3.6;1.72;3.2;4.33;1.75;3.2;4.35;2006
99;2005-10-30;Valencia;Santander;1;1;D;1;1;D;10;5;4;4;14;31;9;1;2;1;0;1;1.4;4.0;6.5;1.5;3.6;6.25;1.45;3.8;5.4;1.44;3.6;6.5;1.4;3.75;7.0;2006
100;2005-10-30;Zaragoza;Malaga;1;1;D;1;1;D;16;9;8;2;19;22;9;1;2;2;0;0;2.0;3.25;3.25;1.85;3.35;3.8;1.9;3.1;3.5;2.0;3.1;3.3;2.0;3.2;3.25;2006
101;2005-11-05;Espanol;Ath Bilbao;1;1;D;0;1;A;13;9;6;3;18;25;4;3;2;1;0;0;2.1;3.25;3.4;1.95;3.2;3.6;2.2;3.1;2.8;2.1;3.1;3.1;2.0;3.2;3.2;2006
102;2005-11-05;Sociedad;Osasuna;1;2;A;1;1;D;15;17;5;5;22;25;3;3;1;4;0;0;2.1;3.25;3.0;1.95;3.2;3.6;2.1;3.1;3.3;2.0;3.1;3.3;2.0;3.2;3.2;2006
103;2005-11-05;Villarreal;Valencia;1;0;H;1;0;H;15;13;4;6;17;22;1;6;1;1;0;0;2.37;3.2;2.87;2.3;3.15;2.85;2.3;3.0;3.0;2.3;3.1;2.75;2.3;3.1;2.7;2006
104;2005-11-06;Cadiz;Mallorca;1;2;A;1;1;D;9;9;4;4;15;21;7;3;3;3;0;1;2.0;3.25;3.25;1.8;3.35;4.0;2.0;3.1;3.2;2.0;3.1;3.3;2.0;3.2;3.2;2006
105;2005-11-06;Celta;Alaves;2;1;H;1;0;H;14;9;9;2;22;14;6;4;3;2;0;0;1.72;3.25;4.33;1.65;3.5;4.7;1.75;3.2;4.0;1.7;3.2;4.5;1.65;3.25;4.5;2006
106;2005-11-06;Getafe;Barcelona;1;3;A;0;1;A;7;10;3;7;20;10;5;4;1;0;0;0;4.5;3.6;1.72;4.3;3.35;1.75;4.3;3.2;1.75;4.2;3.25;1.72;4.0;3.4;1.75;2006
107;2005-11-06;Malaga;La Coruna;1;1;D;0;0;D;11;12;1;4;23;17;4;2;0;3;0;0;2.4;3.2;2.6;2.4;3.1;2.75;2.6;3.0;2.6;2.5;3.1;2.5;2.5;3.2;2.4;2006
108;2005-11-06;Real Madrid;Zaragoza;1;0;H;0;0;D;13;14;5;4;14;22;6;1;2;5;0;0;1.36;4.33;9.0;1.33;4.2;9.0;1.35;4.2;7.5;1.36;3.75;8.0;1.35;4.0;7.0;2006
109;2005-11-06;Santander;Betis;1;1;D;0;1;A;14;8;5;2;24;27;6;7;3;2;0;0;2.3;3.25;2.75;2.2;3.2;3.0;2.4;3.0;2.6;2.2;3.2;2.8;2.25;3.2;2.7;2006
110;2005-11-06;Sevilla;Ath Madrid;0;0;D;0;0;D;14;12;6;3;21;18;7;4;0;3;0;0;2.0;3.25;3.4;2.1;3.2;3.2;2.2;3.0;3.1;2.1;3.1;3.1;2.0;3.2;3.2;2006
111;2005-11-19;Getafe;Osasuna;0;0;D;0;0;D;13;9;4;2;17;26;4;2;2;2;0;0;2.25;3.0;3.0;2.1;3.1;3.3;2.2;3.1;2.8;2.25;3.1;2.8;2.25;3.2;2.75;2006
112;2005-11-19;Real Madrid;Barcelona;0;3;A;0;1;A;5;20;2;7;25;16;3;6;6;2;0;0;2.37;3.2;2.62;2.25;3.25;2.85;2.3;3.1;2.9;2.37;3.0;2.7;2.35;3.1;2.65;2006
